,id,dt,t,side,price,amount,cost
231,4315142587,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.13,0.0001,9.742213
232,4315142588,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.13,6e-05,5.8453278
233,4315142589,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.13,0.0001,9.742213
234,4315142590,2024-12-21 01:19:33.299000+00:00,1734743973299,1,97422.12,0.14816,14434.0612992
235,4315142591,2024-12-21 01:19:33.301000+00:00,1734743973301,1,97422.12,0.0001,9.742212
236,4315142592,2024-12-21 01:19:33.301000+00:00,1734743973301,1,97422.12,0.0001,9.742212
237,4315142593,2024-12-21 01:19:33.301000+00:00,1734743973301,1,97421.59,0.0001,9.742159
238,4315142594,2024-12-21 01:19:33.301000+00:00,1734743973301,1,97421.59,0.0001,9.742159
239,4315142595,2024-12-21 01:19:33.301000+00:00,1734743973301,1,97421.52,0.01427,1390.2050904
240,4315142596,2024-12-21 01:19:33.301000+00:00,1734743973301,1,97421.52,0.02854,2780.4101808
241,4315142597,2024-12-21 01:19:33.301000+00:00,1734743973301,1,97421.45,0.0001,9.742145
242,4315142598,2024-12-21 01:19:33.301000+00:00,1734743973301,1,97421.45,0.0001,9.742145
243,4315142599,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97421.11,0.0001,9.742111
244,4315142600,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97421.11,0.0001,9.742111
245,4315142601,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97421.1,0.0001,9.74211
246,4315142602,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97421.1,0.0001,9.74211
247,4315142603,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97421.06,6e-05,5.8452636
248,4315142604,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97421.05,0.00666,648.824193
249,4315142605,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97421.05,0.0001,9.742105
250,4315142606,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97421.05,0.0001,9.742105
251,4315142607,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97420.87,6e-05,5.8452522
252,4315142608,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97420.86,0.00201,195.8159286
253,4315142609,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97420.86,0.0001,9.742086
254,4315142610,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97420.86,0.0001,9.742086
255,4315142611,2024-12-21 01:19:33.305000+00:00,1734743973305,1,97420.85,0.00086,83.781931
256,4315142612,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.85,0.00032,31.174672
257,4315142613,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.85,0.0001,9.742085
258,4315142614,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.85,0.0001,9.742085
259,4315142615,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.81,0.0001,9.742081
260,4315142616,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.81,0.0001,9.742081
261,4315142617,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.08,0.00016,15.5872128
262,4315142618,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.08,0.0001,9.742008
263,4315142619,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.08,0.0001,9.742008
264,4315142620,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.01,6e-05,5.8452006
265,4315142621,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.0,0.004,389.68
266,4315142622,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.0,0.0001,9.742
267,4315142623,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97420.0,0.0001,9.742
268,4315142624,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97419.84,0.0001,9.741984
269,4315142625,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97419.84,0.0001,9.741984
270,4315142626,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97419.75,0.0001,9.741975
271,4315142627,2024-12-21 01:19:33.308000+00:00,1734743973308,1,97419.75,0.0001,9.741975
272,4315142628,2024-12-21 01:19:33.319000+00:00,1734743973319,1,97419.75,0.0001,9.741975
273,4315142629,2024-12-21 01:19:33.319000+00:00,1734743973319,1,97419.75,0.0001,9.741975
